"LOAN","MORTDUE","VALUE","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","Default","Loan_Reason"
"        1100","4613.1563229","       39025","Other","2.3216972048","           0","           0","94.366666667","           1","           9","           .","Yes","Home Improvement"
"162.06479066"," 54374.03044","       68400","Other","           7","           0","           2","121.83333333","           0","          14","           .","Yes","Home Improvement"
"        1500","       13500","       16700","Other","           4","           0","           0","149.46666667","           1","          10","           .","Yes","Home Improvement"
"        1500","           .","           .","","           .","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        1700","       97800"," 68863.68371","Office","           3","           0","           0","93.333333333","           0","          14","           .","No","Home Improvement"
"        1700","16473.682987","21297.893542","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558","No","Home Improvement"
"1047.0006541","       48649","       57037","Other","3.7555630779","           3","           2","        77.1","           1","          17","           .","Yes","Home Improvement"
"        1800","       28502","29149.344452","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093","Yes","Home Improvement"
"        2000","       32700","       46740","Other","2.3366121665","           0","           2","216.93333333","           1","          12","           .","Yes","Home Improvement"
"        2000","           .","4491.1437733","Sales","3.7429308387","           0","           0","       115.8","           0","          13","           .","Yes","Home Improvement"
"        2000","19378.397699","           .","","          18","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        2000","12940.385392","       29800","Office","          11","           0","           1","122.53333333","           1","           9","           .","No","Home Improvement"
"        2000","8993.7551594","12285.336087","Other","           3","           0","           0","86.066666667","           2","          25","           .","No","Home Improvement"
"45.805413297","       64536","       87400","Mgr","0.8562451326","           0","           0","147.13333333","           0","          24","           .","No","Debt Consolidation"
"1581.4960782","       71000","       83850","Other","2.3090927425","           0","           1","         123","           0","          16","           .","Yes","Home Improvement"
"        2200","       24280","21203.204433","Other","           .","           0","           1","300.86666667","           0","           8","           .","Yes","Home Improvement"
"        2200","       90957","      102600","Mgr","           7","           2","           6","       122.9","           1","          22","           .","Yes","Home Improvement"
"1844.4364487","191.05116041","           .","","          19","           .","           .","           .","           .","           .","3.7113122995","Yes","Debt Consolidation"
"        2300","       28192","3326.2140228","Other","0.5793729201","           0","           0","        54.6","           1","          16","           .","Yes","Home Improvement"
"        2300","      102370","      120953","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178","No","Home Improvement"
"        2300","       37626","10766.263218","Other","           3","           0","           1","122.26666667","           1","          14","           .","Yes","Home Improvement"
"        2400","       50000","       73395","ProfExe","1.9503899859","           1","           0","           .","           1","           0","           .","Yes","Home Improvement"
"1559.2303987","       28000","       40800","Mgr","9.5563326895","           0","           0","        67.2","           2","          22","           .","Yes","Home Improvement"
"        2400","7768.0722828","           .","Mgr","10.121611809","           .","           2","121.73333333","           0","          10","           .","No","Home Improvement"
"        2400","           .","       17180","Other","           .","           0","           0","14.566666667","           3","           4","           .","Yes","Home Improvement"
"        2400","       34863","       47471","Mgr","          12","           0","           0","70.491080032","           1","          21","38.263600731","Yes","Home Improvement"
"1995.3583168","43146.057525","      117195","Office","3.8431846219","           0","           0","93.811774855","           0","          13","29.681827045","No","Home Improvement"
"        2500","       15000","       20200","","          18","           0","           0","136.06666667","           1","          19","           .","No","Home Improvement"
"        2500","       25116","23585.591397","Other","          10","           1","           2","276.96666667","           0","           9","           .","Yes","Home Improvement"
"        2500","6377.7671713","       44516","Self","           .","           0","           0","         208","           0","          12","           .","No","Home Improvement"
"547.52550463","       71408"," 23159.00798","ProfExe","           8","           0","           0","255.73333333","           0","          12","           .","No","Home Improvement"
"        2800","       50795","       63100","Self","          26","           2","          15","145.63333333","           3","          45","           .","Yes","Home Improvement"
"        2800","        4000"," 43832.33069","Other","15.977682449","           4","           0","112.63333333","           2","           9","           .","No","Home Improvement"
"        2900","       78600","      113000","ProfExe","           6","           1","           0","165.33333333","           2","          26","           .","Yes",""
"2218.0873421","      103949","      112505","Office","0.4774160769","           0","           0"," 96.10232967","           0","          13","30.051136286","No","Home Improvement"
"        2900","97134.775168","      120702","Office","1.5734184094","           0","           0","101.54029753","           0","          13","29.915859028","No","Home Improvement"
"        2900","        7750","       67996","Other","7.7118100485","           3","           0","122.20466276","           2","           8","36.211347998","Yes","Home Improvement"
"        2900","54985.594831","54709.686088","Mgr","1.1143074199","           0","           0","282.80165924","           3","          37"," 49.20639579","Yes",""
"        3000","      104570","54856.001359","Office","0.6089515829","           0","           0","85.884371895","           0","          14","32.059783267","No","Home Improvement"
"        3000","        7000","       20300","Other","           3","           0","           0","        50.8","           5","           9","           .","Yes","Home Improvement"
" 1291.336409","           .","7131.4311612","Other","           2","           0","           1","77.766666667","           0","           3","           .","Yes","Home Improvement"
"2367.5906371","           .","       33000","Other","           1","           0","           1","        23.3","           1","           2","           .","Yes","Home Improvement"
"        3000","      119826","157559.32988","Other","3.5785337666","           0","           0","130.03335846","           0","          27","           .","Yes","Home Improvement"
"        3000","       20000","       29750","Other","           2","           0","           0","187.06666667","           0","          12","           .","No",""
"        3000","           .","       14500","Other","1.5494905848","           0","           0","         9.3","          14","           2","           .","Yes","Home Improvement"
"        3000","           .","       14100","Other","           1","           0","           0","       104.2","           0","          19","           .","Yes","Home Improvement"
"        3000","       47000","       82700","ProfExe","          10","           0","           1","262.16666667","           5","          26","           .","Yes","Home Improvement"
"884.31391068","       34542","       45900","Mgr","         8.5","           0","           2","62.366666667","           0","          10","           .","Yes","Home Improvement"
"        3000","       58000","12118.095598","Mgr","          10","           .","           2","211.93333333","           0","          25","           .","No","Home Improvement"
"727.43289393","       47000","24714.622712","Office","6.1893848177","           0","           0","201.86666667","           0","          20","           .","No","Home Improvement"
"2619.6710755","10893.590222","       36100","Other","0.4637394284","           0","           0","153.16666667","           1","          14","           .","Yes","Home Improvement"
"        3100","           .","53926.518522","","           .","           .","           .","           .","           .","           .","           .","No","Debt Consolidation"
"522.69983018","64550.026695","       74566","Mgr","          10","           .","           1","206.42660206","           0","          25","40.115677278","No","Home Improvement"
"        3200","       48603","       61000","ProfExe","          28","           0","           4","122.03333333","           1","          25","           .","Yes","Home Improvement"
"2631.8835241","       27200","       40834","Other","           .","           0","           0","298.13156403","           0","           7","35.553538789","Yes","Home Improvement"
"        3200","       54000","       64850","Other","0.6542266121","           0","           0","121.86666667","           3","          21","           .","Yes","Home Improvement"
"        3200","       74864","       87266","ProfExe","3.8037100904","           0","           0","250.63126922","           0","          12","42.909997351","No","Home Improvement"
"        3200","       23159","           .","Mgr","          20","           .","           2","117.80574784","           0","           9","0.5244992154","Yes","Home Improvement"
"2099.2611714","      126541","107616.57002","Sales","           9","           1","           0","         139","           0","          36","           .","Yes","Home Improvement"
"        3300","      130518"," 108927.8097","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919","No",""
"        3400","       37000","       52000","Office","           2","           0","           1","183.29991561","           0","           6","           .","Yes","Home Improvement"
"        3500","7645.0062761","       38666","Other","2.8168618296","           0","           0","162.36666667","           0","          14","           .","Yes","Home Improvement"
"        3500","       19400","       20494","Other","           5","           0","           0","95.933333333","           0","           9","           .","Yes","Home Improvement"
"1942.9871302","39990.795001","       61800","ProfExe","          10","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        3600","35993.341951","10719.900362","Mgr","           3","           0","           0","72.033333333","           2","           4","           .","Yes","Home Improvement"
"        3600","15196.969867","      111800","ProfExe","           6","           0","           0","192.73333333","           1","          28","           .","No","Home Improvement"
"        3600","       61327","40927.941705","Mgr","           9","           .","           2","202.51077515","           0","          25","41.516389699","No","Home Improvement"
" 2330.681497","86847.230458","      114743","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382","No","Home Improvement"
"1773.4973517","39763.551074","       61000","Office","          13","           1","           4","        97.4","           0","          17","           .","Yes",""
"        3600","       52337","       63989","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508","No","Home Improvement"
"        3700","       17857","       21144","Other","2.4048077815","           0","           0","129.71732313","           1","           9","26.634347518","Yes","Home Improvement"
"383.79449089","       19135","       97692","Mgr","1.0416089808","           1","           6","252.63333333","           1","          25","           .","Yes","Home Improvement"
"3467.1968083","       51180","       63459","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051","No","Home Improvement"
"434.65345531","           .","       73189","","           .","           .","           .","           .","           .","           .","22.253949156","No","Debt Consolidation"
"        3800","       11543","33051.141828","Self","           .","           0","           0","204.64799167","           0","          11","42.173165882","No","Home Improvement"
"2553.6985829","       29896","       45960","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191","Yes","Home Improvement"
"        3900","       14500","6052.1195399","Other","         3.5","           0","           1","       150.3","           5","           8","           .","Yes","Home Improvement"
"3432.8311497","       52825","10561.112954","ProfExe","           8","           0","           4","171.66666667","           1","          31","           .","No",""
