"LOAN","MORTDUE","VALUE","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","Default","Loan_Reason"
"        1100","4613.1563229","       39025","Other","2.3216972048","           0","           0","94.366666667","           1","           9","           .","Yes","Home Improvement"
"162.06479066"," 54374.03044"," 66177.01607","Other","4.9975413997","           0","           2","121.83333333","           0","          14","           .","Yes","Home Improvement"
"1292.0169063","11615.734546","       16700","Other","           4","           0","           0","149.46666667","           1","          10","           .","Yes","Home Improvement"
"783.12678066","           .","           .","","           .","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        1700","52740.807781","59160.815393","Office","           3","           0","           0","93.333333333","           0","          14","           .","Yes","Home Improvement"
"988.83395106","       30548","5882.7308813","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558","Yes","Home Improvement"
"        1800","       48649","38634.362586","Other","           5","           3","           2","        77.1","           1","          17","           .","Yes","Home Improvement"
"        1800","       28502","       43034","Other","8.5675779439","           0","           0","88.766029879","           0","           8","36.884894093","Yes","Home Improvement"
"        2000","       32700","3372.1455416","Other","0.7017995323","           0","           2","216.93333333","           1","          12","           .","Yes","Home Improvement"
"        2000","           .","42737.002789","Sales","          16","           0","           0","       115.8","           0","          13","           .","Yes","Home Improvement"
"1254.7035819","       22608","           .","","9.1168256547","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"211.53889327","20616.502098","7125.6648938","Office","9.2897442101","           0","           1","122.53333333","           1","           9","           .","Yes","Home Improvement"
"684.99610605","       45000","41420.135382","Other","           3","           0","           0","86.066666667","           2","          25","           .","Yes","Home Improvement"
"577.27318563","53488.824759","       87400","Mgr","1.5281809059","           0","           0","147.13333333","           0","          24","           .","No","Debt Consolidation"
"        2100","       71000","       83850","Other","           8","           0","           1","         123","           0","          16","           .","Yes","Home Improvement"
"        2200","20355.871352","287.75473736","Other","           .","           0","           1","300.86666667","           0","           8","           .","Yes","Home Improvement"
