"LOAN","MORTDUE","VALUE","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","Default","Loan_Reason"
"        1100","       25860","       39025","Other","        10.5","           0","           0","94.366666667","           1","           9","           .","Yes","Home Improvement"
"        1300","       70053","       68400","Other","           7","           0","           2","121.83333333","           0","          14","           .","Yes","Home Improvement"
"        1500","       13500","       16700","Other","           4","           0","           0","149.46666667","           1","          10","           .","Yes","Home Improvement"
"        1500","           .","           .","","           .","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        1700","       97800","      112000","Office","           3","           0","           0","93.333333333","           0","          14","           .","No","Home Improvement"
"        1700","18782.569732","       40320","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558","Yes","Home Improvement"
"        1800","       48649","       57037","Other","           5","           3","           2","        77.1","           1","          17","           .","Yes","Home Improvement"
"195.81948127","       28502","       43034","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093","Yes","Home Improvement"
"        2000","       32700","       46740","Other","           3","           0","           2","216.93333333","           1","          12","           .","Yes","Home Improvement"
"        2000","           .","       62250","Sales","          16","           0","           0","       115.8","           0","          13","           .","Yes","Home Improvement"
"        2000","       22608","           .","","          18","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        2000","1488.1738572","       29800","Office","          11","           0","           1","122.53333333","           1","           9","           .","Yes","Home Improvement"
"        2000","       45000","       55000","Other","           3","           0","           0","86.066666667","           2","          25","           .","Yes","Home Improvement"
"        2000","       64536"," 54830.54653","Mgr","         2.5","           0","           0","147.13333333","           0","          24","           .","No","Debt Consolidation"
"1063.6296597","       71000","       83850","Other","           8","           0","           1","         123","           0","          16","           .","Yes","Home Improvement"
"        2200","5805.7430745","29293.941583","Other","           .","           0","           1","300.86666667","           0","           8","           .","No","Home Improvement"
"        2200","       90957","      102600","Mgr","           7","           2","           6","       122.9","           1","          22","           .","Yes","Home Improvement"
"        2200","       23030","           .","","          19","           .","           .","           .","           .","           .","3.7113122995","Yes","Debt Consolidation"
